address,paon,saon,street,locality,town,postcode,district,propertyType,estateId,estate,estateClassification,estateType,estateRuleId,estateRegistryVersion,estateEvidenceStatus,estateReviewStatus,price,date,market,category
"ALBANY HOUSE, CAMP END ROAD, WEYBRIDGE, KT13 0NU",ALBANY HOUSE,,CAMP END ROAD,,WEYBRIDGE,KT13 0NU,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:camp-end-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3280000,2022-08-04,elmbridge-prime,A
"10, BROOMFIELD RIDE, OXSHOTT, LEATHERHEAD, KT22 0LW",10,,BROOMFIELD RIDE,OXSHOTT,LEATHERHEAD,KT22 0LW,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,6950000,2022-08-03,elmbridge-prime,A
"23, HAREBELL HILL, COBHAM, KT11 2RS",23,,HAREBELL HILL,,COBHAM,KT11 2RS,Elmbridge,Detached,oxshott-way-estate,Oxshott Way Estate,A,traditional_private_estate,pe:oxshott-way-estate:harebell-hill:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3770000,2022-08-02,elmbridge-prime,A
"RIDGEWOOD HOUSE, RIDGEMEAD ROAD, ENGLEFIELD GREEN, EGHAM, TW20 0YD",RIDGEWOOD HOUSE,,RIDGEMEAD ROAD,ENGLEFIELD GREEN,EGHAM,TW20 0YD,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4000000,2022-07-29,runnymede-wentworth,A
"THE CEDARS, 52, ONSLOW ROAD, HERSHAM, WALTON-ON-THAMES, KT12 5AZ","THE CEDARS, 52",,ONSLOW ROAD,HERSHAM,WALTON-ON-THAMES,KT12 5AZ,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:onslow-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,4495000,2022-07-28,elmbridge-prime,A
"HOLMWOOD, PARK VIEW ROAD, WOLDINGHAM, CATERHAM, CR3 7DN",HOLMWOOD,,PARK VIEW ROAD,WOLDINGHAM,CATERHAM,CR3 7DN,Tandridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3650000,2022-07-28,tandridge-oxted,B
"12, HIGH TREES ROAD, REIGATE, RH2 7EJ",12,,HIGH TREES ROAD,,REIGATE,RH2 7EJ,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3500000,2022-07-27,reigate-banstead,A
"THE WHITE HOUSE, SUNNINGHILL ROAD, WINDLESHAM, GU20 6PP",THE WHITE HOUSE,,SUNNINGHILL ROAD,,WINDLESHAM,GU20 6PP,Surrey Heath,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,6350000,2022-07-22,surrey-heath,A
"KINGS CHASE, QUEENS DRIVE, OXSHOTT, LEATHERHEAD, KT22 0PF",KINGS CHASE,,QUEENS DRIVE,OXSHOTT,LEATHERHEAD,KT22 0PF,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5500000,2022-07-22,elmbridge-prime,B
"1, EATON PARK, COBHAM, KT11 2JF",1,,EATON PARK,,COBHAM,KT11 2JF,Elmbridge,Detached,eaton-park,Eaton Park,A,traditional_private_estate,pe:eaton-park:eaton-park:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,6200000,2022-07-15,elmbridge-prime,A
"14A, WARWICKS BENCH, GUILDFORD, GU1 3TG",14A,,WARWICKS BENCH,,GUILDFORD,GU1 3TG,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4300000,2022-07-15,guildford-district,A
"15, LEYS ROAD, OXSHOTT, LEATHERHEAD, KT22 0QE",15,,LEYS ROAD,OXSHOTT,LEATHERHEAD,KT22 0QE,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4500000,2022-07-11,elmbridge-prime,A
"BRAMBLETYE, OLD AVENUE, WEYBRIDGE, KT13 0QA",BRAMBLETYE,,OLD AVENUE,,WEYBRIDGE,KT13 0QA,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5500000,2022-07-08,elmbridge-prime,A
"HIGHWOOD, 6A, GUILDOWN AVENUE, GUILDFORD, GU2 4HB","HIGHWOOD, 6A",,GUILDOWN AVENUE,,GUILDFORD,GU2 4HB,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3250000,2022-07-05,guildford-district,B
"SHANDON, CAVENDISH ROAD, WEYBRIDGE, KT13 0JY",SHANDON,,CAVENDISH ROAD,,WEYBRIDGE,KT13 0JY,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:cavendish-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,12070000,2022-07-01,elmbridge-prime,A
"124, SILVERDALE AVENUE, WALTON-ON-THAMES, KT12 1EH",124,,SILVERDALE AVENUE,,WALTON-ON-THAMES,KT12 1EH,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4150000,2022-07-01,elmbridge-prime,A
"FIR TREES, SPRING WOODS, VIRGINIA WATER, GU25 4PW",FIR TREES,,SPRING WOODS,,VIRGINIA WATER,GU25 4PW,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:spring-woods:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,4300000,2022-06-30,runnymede-wentworth,A
"FLAT 1, PEPER HAROW HOUSE, PEPER HAROW PARK, PEPER HAROW, GODALMING, GU8 6BG",PEPER HAROW HOUSE,FLAT 1,PEPER HAROW PARK,PEPER HAROW,GODALMING,GU8 6BG,Waverley,Flat Maisonette,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3200000,2022-06-30,waverley-south-surrey,A
"PENTON LAKE, TEMPLE GARDENS, STAINES-UPON-THAMES, TW18 3NQ",PENTON LAKE,,TEMPLE GARDENS,,STAINES-UPON-THAMES,TW18 3NQ,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2022-06-24,runnymede-wentworth,A
"HIGH LANES, NORTH DRIVE, VIRGINIA WATER, GU25 4NL",HIGH LANES,,NORTH DRIVE,,VIRGINIA WATER,GU25 4NL,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:north-drive:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,9750000,2022-06-23,runnymede-wentworth,A
"MEADOW GRANGE, MEADOW ROAD, VIRGINIA WATER, GU25 4NH",MEADOW GRANGE,,MEADOW ROAD,,VIRGINIA WATER,GU25 4NH,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:meadow-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,5000000,2022-06-23,runnymede-wentworth,A
"SOUTHDOWN HOUSE, THE MOUNT, GUILDFORD, GU2 4RH",SOUTHDOWN HOUSE,,THE MOUNT,,GUILDFORD,GU2 4RH,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3366350,2022-06-22,guildford-district,A
"CHASE HOUSE, THE CHASE, OXSHOTT, LEATHERHEAD, KT22 0HR",CHASE HOUSE,,THE CHASE,OXSHOTT,LEATHERHEAD,KT22 0HR,Elmbridge,Detached,knott-park,Knott Park,A,traditional_private_estate,pe:knott-park:the-chase:segment,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3895000,2022-06-21,elmbridge-prime,A
"1, WENTWORTH HALL, VIRGINIA WATER, GU25 4LE",1,,WENTWORTH HALL,,VIRGINIA WATER,GU25 4LE,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,7425000,2022-06-16,runnymede-wentworth,A
"BROMPTON COURT, 9, KINGS WARREN, OXSHOTT, LEATHERHEAD, KT22 0PE","BROMPTON COURT, 9",,KINGS WARREN,OXSHOTT,LEATHERHEAD,KT22 0PE,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4695000,2022-06-14,elmbridge-prime,A
"15, MEADWAY, ESHER, KT10 9HG",15,,MEADWAY,,ESHER,KT10 9HG,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3950000,2022-06-14,elmbridge-prime,A
"LONGWOOD, WAVERLEY DRIVE, VIRGINIA WATER, GU25 4PZ",LONGWOOD,,WAVERLEY DRIVE,,VIRGINIA WATER,GU25 4PZ,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:waverley-drive:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,24000000,2022-06-10,runnymede-wentworth,A
"OLD RECTORY, GODALMING ROAD, LOXHILL, GODALMING, GU8 4BQ",OLD RECTORY,,GODALMING ROAD,LOXHILL,GODALMING,GU8 4BQ,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,8500000,2022-06-08,waverley-south-surrey,A
"9, BIRDS HILL DRIVE, OXSHOTT, LEATHERHEAD, KT22 0SP",9,,BIRDS HILL DRIVE,OXSHOTT,LEATHERHEAD,KT22 0SP,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4950000,2022-06-07,elmbridge-prime,A
"JASMIN, RODONA ROAD, WEYBRIDGE, KT13 0NP",JASMIN,,RODONA ROAD,,WEYBRIDGE,KT13 0NP,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:rodona-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,4600000,2022-06-01,elmbridge-prime,B
"21, NEW ROAD, ESHER, KT10 9PG",21,,NEW ROAD,,ESHER,KT10 9PG,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3830000,2022-05-27,elmbridge-prime,A
"JELLYFISH HOUSE, 31, LONDON ROAD, REIGATE, RH2 9SS","JELLYFISH HOUSE, 31",,LONDON ROAD,,REIGATE,RH2 9SS,Reigate and Banstead,Terraced,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3910000,2022-05-25,reigate-banstead,B
"WOODMEAD HOUSE, HASCOMBE ROAD, GODALMING, GU8 4AD",WOODMEAD HOUSE,,HASCOMBE ROAD,,GODALMING,GU8 4AD,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3369000,2022-05-24,waverley-south-surrey,A
"24, BROADWATER ROAD SOUTH, HERSHAM, WALTON-ON-THAMES, KT12 5DE",24,,BROADWATER ROAD SOUTH,HERSHAM,WALTON-ON-THAMES,KT12 5DE,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:broadwater-road-south:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,4000000,2022-05-20,elmbridge-prime,A
"WARREN MERE, PORTSMOUTH ROAD, THURSLEY, GODALMING, GU8 6NA",WARREN MERE,,PORTSMOUTH ROAD,THURSLEY,GODALMING,GU8 6NA,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4250000,2022-05-19,waverley-south-surrey,B
"179, SILVERDALE AVENUE, WALTON-ON-THAMES, KT12 1EL",179,,SILVERDALE AVENUE,,WALTON-ON-THAMES,KT12 1EL,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3500000,2022-05-19,elmbridge-prime,A
"PARKHILL, EAST ROAD, ST GEORGES HILL, WEYBRIDGE, KT13 0LE",PARKHILL,,EAST ROAD,ST GEORGES HILL,WEYBRIDGE,KT13 0LE,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:east-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,16000000,2022-05-17,elmbridge-prime,A
"LITTLE WARREN FARM, ONE TREE HILL ROAD, GUILDFORD, GU4 8PL",LITTLE WARREN FARM,,ONE TREE HILL ROAD,,GUILDFORD,GU4 8PL,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3650000,2022-05-13,guildford-district,A
"39, OXSHOTT WAY, COBHAM, KT11 2RU",39,,OXSHOTT WAY,,COBHAM,KT11 2RU,Elmbridge,Detached,oxshott-way-estate,Oxshott Way Estate,A,traditional_private_estate,pe:oxshott-way-estate:oxshott-way:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,3100000,2022-05-13,elmbridge-prime,A
"WOODACRE HOUSE, THE CHASE, KINGSWOOD, TADWORTH, KT20 6JD",WOODACRE HOUSE,,THE CHASE,KINGSWOOD,TADWORTH,KT20 6JD,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3450000,2022-05-06,reigate-banstead,A
"1, THE BARONS, ENGLEFIELD GREEN, EGHAM, TW20 0GR",1,,THE BARONS,ENGLEFIELD GREEN,EGHAM,TW20 0GR,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3350000,2022-05-03,runnymede-wentworth,A
"GREYSTONES, 14, BIRDS HILL DRIVE, OXSHOTT, LEATHERHEAD, KT22 0SP","GREYSTONES, 14",,BIRDS HILL DRIVE,OXSHOTT,LEATHERHEAD,KT22 0SP,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,8531000,2022-04-29,elmbridge-prime,A
"14, PRINCES DRIVE, OXSHOTT, LEATHERHEAD, KT22 0UP",14,,PRINCES DRIVE,OXSHOTT,LEATHERHEAD,KT22 0UP,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,7600000,2022-04-29,elmbridge-prime,A
"89, SILVERDALE AVENUE, WALTON-ON-THAMES, KT12 1EJ",89,,SILVERDALE AVENUE,,WALTON-ON-THAMES,KT12 1EJ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3519360,2022-04-29,elmbridge-prime,A
"5, BLACKHILLS, ESHER, KT10 9JP",5,,BLACKHILLS,,ESHER,KT10 9JP,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3230000,2022-04-29,elmbridge-prime,A
"BISHOPSGATE PLACE, 7, BISHOPSGATE ROAD, ENGLEFIELD GREEN, EGHAM, TW20 0XY","BISHOPSGATE PLACE, 7",,BISHOPSGATE ROAD,ENGLEFIELD GREEN,EGHAM,TW20 0XY,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4350000,2022-04-28,runnymede-wentworth,A
"NORNEY WOOD, ELSTEAD ROAD, SHACKLEFORD, GODALMING, GU8 6AY",NORNEY WOOD,,ELSTEAD ROAD,SHACKLEFORD,GODALMING,GU8 6AY,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,7750000,2022-04-22,guildford-district,A
"TUDOR LODGE, LAKE ROAD, VIRGINIA WATER, GU25 4QW",TUDOR LODGE,,LAKE ROAD,,VIRGINIA WATER,GU25 4QW,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:lake-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3175000,2022-04-05,runnymede-wentworth,A
"5, WENTWORTH HALL, VIRGINIA WATER, GU25 4LE",5,,WENTWORTH HALL,,VIRGINIA WATER,GU25 4LE,Runnymede,Semi Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3650000,2022-04-01,runnymede-wentworth,A
"HIGH TREES, CAVENDISH ROAD, WEYBRIDGE, KT13 0JX",HIGH TREES,,CAVENDISH ROAD,,WEYBRIDGE,KT13 0JX,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:cavendish-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3800000,2022-03-31,elmbridge-prime,A
"2, SPICERS FIELD, OXSHOTT, LEATHERHEAD, KT22 0UT",2,,SPICERS FIELD,OXSHOTT,LEATHERHEAD,KT22 0UT,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3600000,2022-03-31,elmbridge-prime,A
"12, WOLSEY ROAD, EAST MOLESEY, KT8 9EL",12,,WOLSEY ROAD,,EAST MOLESEY,KT8 9EL,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2022-03-30,elmbridge-prime,A
"ROSEWOOD, EAST ROAD, ST GEORGES HILL, WEYBRIDGE, KT13 0LD",ROSEWOOD,,EAST ROAD,ST GEORGES HILL,WEYBRIDGE,KT13 0LD,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:east-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,3900000,2022-03-25,elmbridge-prime,B
"FOXLEASE, UPPER COURT ROAD, WOLDINGHAM, CATERHAM, CR3 7BF",FOXLEASE,,UPPER COURT ROAD,WOLDINGHAM,CATERHAM,CR3 7BF,Tandridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3400000,2022-03-25,tandridge-oxted,A
"THREE GABLES, BALLARDS LANE, OXTED, RH8 0SN",THREE GABLES,,BALLARDS LANE,,OXTED,RH8 0SN,Tandridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3150000,2022-03-25,tandridge-oxted,A
"17, SANDOWN ROAD, ESHER, KT10 9TT",17,,SANDOWN ROAD,,ESHER,KT10 9TT,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3350000,2022-03-15,elmbridge-prime,A
"SCOTTS FARM, SCOTTS GROVE ROAD, CHOBHAM, WOKING, GU24 8DP",SCOTTS FARM,,SCOTTS GROVE ROAD,CHOBHAM,WOKING,GU24 8DP,Surrey Heath,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3900000,2022-03-07,surrey-heath,A
"43, BROADWATER ROAD SOUTH, HERSHAM, WALTON-ON-THAMES, KT12 5DE",43,,BROADWATER ROAD SOUTH,HERSHAM,WALTON-ON-THAMES,KT12 5DE,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:broadwater-road-south:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,5850000,2022-03-04,elmbridge-prime,A
"MONTAGUE HOUSE, 48B, COPSEM LANE, ESHER, KT10 9HJ","MONTAGUE HOUSE, 48B",,COPSEM LANE,,ESHER,KT10 9HJ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3500000,2022-03-04,elmbridge-prime,A
"11, PRINCES DRIVE, OXSHOTT, LEATHERHEAD, KT22 0UL",11,,PRINCES DRIVE,OXSHOTT,LEATHERHEAD,KT22 0UL,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3800000,2022-02-28,elmbridge-prime,A
"OCKHAM MILL, MILL LANE, RIPLEY, WOKING, GU23 6QT",OCKHAM MILL,,MILL LANE,RIPLEY,WOKING,GU23 6QT,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3250000,2022-02-28,guildford-district,A
"4, FAIRMILE AVENUE, COBHAM, KT11 2JB",4,,FAIRMILE AVENUE,,COBHAM,KT11 2JB,Elmbridge,Detached,eaton-park,Eaton Park,A,traditional_private_estate,pe:eaton-park:fairmile-avenue:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,4067500,2022-02-25,elmbridge-prime,A
"SPINDLEWOOD, 25, ABBOTS DRIVE, VIRGINIA WATER, GU25 4SE","SPINDLEWOOD, 25",,ABBOTS DRIVE,,VIRGINIA WATER,GU25 4SE,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:abbots-drive:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,5750000,2022-02-21,runnymede-wentworth,A
"HARTLANDS, RODONA ROAD, WEYBRIDGE, KT13 0NP",HARTLANDS,,RODONA ROAD,,WEYBRIDGE,KT13 0NP,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:rodona-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,7800000,2022-02-18,elmbridge-prime,A
"6, FURZE FIELD, OXSHOTT, LEATHERHEAD, KT22 0UR",6,,FURZE FIELD,OXSHOTT,LEATHERHEAD,KT22 0UR,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4950000,2022-02-18,elmbridge-prime,A
"WALDEGRAVE HOUSE, RODONA ROAD, WEYBRIDGE, KT13 0NP",WALDEGRAVE HOUSE,,RODONA ROAD,,WEYBRIDGE,KT13 0NP,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:rodona-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,6900000,2022-02-11,elmbridge-prime,A
"LOCKHEED, 1A, FAIRBOURNE, COBHAM, KT11 2BT","LOCKHEED, 1A",,FAIRBOURNE,,COBHAM,KT11 2BT,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3900000,2022-02-11,elmbridge-prime,A
"11, ICKLINGHAM ROAD, COBHAM, KT11 2NG",11,,ICKLINGHAM ROAD,,COBHAM,KT11 2NG,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3950000,2022-02-10,elmbridge-prime,A
"STERLING HOUSE, 65, PALACE ROAD, EAST MOLESEY, KT8 9DN","STERLING HOUSE, 65",,PALACE ROAD,,EAST MOLESEY,KT8 9DN,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4000000,2022-02-09,elmbridge-prime,A
"SILVERWOOD HOUSE, OLD AVENUE, WEYBRIDGE, KT13 0QA",SILVERWOOD HOUSE,,OLD AVENUE,,WEYBRIDGE,KT13 0QA,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,12500000,2022-02-02,elmbridge-prime,A
"BRACKENSIDE, WARREN DRIVE, KINGSWOOD, TADWORTH, KT20 6PZ",BRACKENSIDE,,WARREN DRIVE,KINGSWOOD,TADWORTH,KT20 6PZ,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3550000,2022-01-31,reigate-banstead,A
"STONEACRES, FIFIELD LANE, FRENSHAM, FARNHAM, GU10 3AR",STONEACRES,,FIFIELD LANE,FRENSHAM,FARNHAM,GU10 3AR,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3282000,2022-01-31,waverley-south-surrey,A
"AMBERLEY, 2, TREE WAY, REIGATE, RH2 0DT","AMBERLEY, 2",,TREE WAY,,REIGATE,RH2 0DT,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2022-01-31,reigate-banstead,A
"TRESANTON, WARREN DRIVE, KINGSWOOD, TADWORTH, KT20 6PT",TRESANTON,,WARREN DRIVE,KINGSWOOD,TADWORTH,KT20 6PT,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3750000,2022-01-28,reigate-banstead,A
"23, BURSTEAD CLOSE, COBHAM, KT11 2NL",23,,BURSTEAD CLOSE,,COBHAM,KT11 2NL,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3950000,2022-01-21,elmbridge-prime,A
"BALLARDS HALL, BALLARDS LANE, OXTED, RH8 0SN",BALLARDS HALL,,BALLARDS LANE,,OXTED,RH8 0SN,Tandridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3500000,2022-01-14,tandridge-oxted,A
"WOODLANDS, TENNYSONS LANE, HASLEMERE, GU27 3AF",WOODLANDS,,TENNYSONS LANE,,HASLEMERE,GU27 3AF,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2022-01-14,waverley-south-surrey,A
"9, CLAREMONT PARK ROAD, ESHER, KT10 9LT",9,,CLAREMONT PARK ROAD,,ESHER,KT10 9LT,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4000000,2022-01-12,elmbridge-prime,B
"7, KING JOHN SQUARE, ENGLEFIELD GREEN, EGHAM, TW20 0GS",7,,KING JOHN SQUARE,ENGLEFIELD GREEN,EGHAM,TW20 0GS,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4500000,2022-01-11,runnymede-wentworth,A
"19, LEYS ROAD, OXSHOTT, LEATHERHEAD, KT22 0QE",19,,LEYS ROAD,OXSHOTT,LEATHERHEAD,KT22 0QE,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5150000,2022-01-07,elmbridge-prime,A
"FOREST GREEN HOUSE, FOREST GREEN, DORKING, RH5 5SQ",FOREST GREEN HOUSE,,,FOREST GREEN,DORKING,RH5 5SQ,Mole Valley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3825000,2022-01-07,mole-valley,A
"SAXONWOOD, COBBETTS RIDGE, FARNHAM, GU10 1RQ",SAXONWOOD,,COBBETTS RIDGE,,FARNHAM,GU10 1RQ,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3250000,2022-01-05,waverley-south-surrey,A
"RAVEN MORROW, WEST DRIVE, VIRGINIA WATER, GU25 4NE",RAVEN MORROW,,WEST DRIVE,,VIRGINIA WATER,GU25 4NE,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:west-drive:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,31000000,2021-12-24,runnymede-wentworth,B
"REYNWOOD, NORTH DRIVE, VIRGINIA WATER, GU25 4NQ",REYNWOOD,,NORTH DRIVE,,VIRGINIA WATER,GU25 4NQ,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:north-drive:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,8800000,2021-12-22,runnymede-wentworth,A
"1, KING JOHN SQUARE, ENGLEFIELD GREEN, EGHAM, TW20 0GS",1,,KING JOHN SQUARE,ENGLEFIELD GREEN,EGHAM,TW20 0GS,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3500000,2021-12-17,runnymede-wentworth,A
"HEATHERLANDS, SOUTH DRIVE, VIRGINIA WATER, GU25 4JR",HEATHERLANDS,,SOUTH DRIVE,,VIRGINIA WATER,GU25 4JR,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:south-drive:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,16398000,2021-12-16,runnymede-wentworth,A
"LION HILL, WEST ROAD, ST GEORGES HILL, WEYBRIDGE, KT13 0LZ",LION HILL,,WEST ROAD,ST GEORGES HILL,WEYBRIDGE,KT13 0LZ,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:west-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,6125000,2021-12-15,elmbridge-prime,A
"2, PRINCES DRIVE, OXSHOTT, LEATHERHEAD, KT22 0UF",2,,PRINCES DRIVE,OXSHOTT,LEATHERHEAD,KT22 0UF,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4950000,2021-12-14,elmbridge-prime,A
"WILLOWBROOK, NUNS WALK, VIRGINIA WATER, GU25 4RT",WILLOWBROOK,,NUNS WALK,,VIRGINIA WATER,GU25 4RT,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3450000,2021-12-10,runnymede-wentworth,A
